province,year,month,Distrito,GrupoAlvo_OutrosAntígenos_2016_2019,GrupoAlvo_BCG_2016_2019,TotalBCG_0_11_meses,Total IPV (0-11 meses),Total PCV 1ª Dose  (0-11 meses),Total PCV 3ª Dose  (0-11 meses),Total Penta 1ª Dose  (0-11 meses),Total Penta 3ª Dose  (0-11 meses),Total Polio 1 (0-11 meses),Total Polio 3 (0-11 meses),Rota1,Rota2,Total Sarampo MR1 (0-11 meses),Cob BCG,Cob IPV,Cob PCV 1,Cob PCV 3,Cob Penta 1,Cob Penta 3,Cob Pólio 1,Cob Pólio 3,Cob Rota 1,Cob Rota 2,Cob MR 1,date,Rota1_lag2,Rota2_lag1,completion_rate,completion_rate_pct_change,vaccine_drop_flag,rota_data_missing,weather_data_missing,cyclone_exposure,cyclone_lag1,cyclone_lag2,cyclone_lag3,cyclone_lag4,tp_lag1,tp_lag2,temperature_avg_lag1,temperature_avg_lag2,rh_lag1,rh_lag2
cabo delgado,2019,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,22.0,22.0,29.0,29.0,84.0,84.0
cabo delgado,2019,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,82.011821838125,22.0,28.110262456555628,29.0,83.3084534541408,84.0
cabo delgado,2019,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2019,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,82.011821838125,82.011821838125,28.110262456555628,28.110262456555628,83.3084534541408,83.3084534541408
cabo delgado,2019,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4.360236,82.011821838125,26.986641220055372,28.110262456555628,79.4450439526356,83.3084534541408
cabo delgado,2019,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4.360236,4.360236,26.986641220055372,26.986641220055372,79.4450439526356,79.4450439526356
cabo delgado,2019,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,247.135355,4.360236,30.042458646598877,26.986641220055372,77.31667665362468,79.4450439526356
cabo delgado,2019,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,3.997663,247.135355,30.294674919044525,30.042458646598877,78.4349989837817,77.31667665362468
cabo delgado,2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,24.947851345,3.997663,29.171598384522262,30.294674919044525,80.46534268689085,78.4349989837817
cabo delgado,2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,45.89803969,24.947851345,28.04852185,29.171598384522262,82.49568639,80.46534268689085
