province,year,month,tp,temperature_avg,rh,weather_data_missing
cabo delgado,2017,1,229.0,28.4,80.0,0
cabo delgado,2017,2,119.0,30.0,85.66666666666667,0
cabo delgado,2017,3,95.0,28.75,92.0,0
cabo delgado,2017,9,5.615192,27.131324637745205,77.66749138425679,0
cabo delgado,2017,10,33.263022,28.558903854379714,82.26606163338046,0
cabo delgado,2017,11,57.437647999999996,29.32562473444936,85.43181443816768,0
cabo delgado,2017,12,270.338649,28.7933078118279,86.70147293172519,0
cabo delgado,2018,1,133.41852,27.72736660508134,87.00345269213166,0
cabo delgado,2018,2,103.0,27.5,86.5,0
cabo delgado,2018,3,101.0,27.5,89.33333333333333,0
cabo delgado,2018,9,24.2937,26.36498108824452,76.39494084870627,0
cabo delgado,2018,10,23.473563,26.779607136594215,80.7176472904958,0
cabo delgado,2018,11,23.05346,27.757329634359266,81.21776808446285,0
cabo delgado,2018,12,194.601122,27.77660217913832,81.59681466987743,0
cabo delgado,2019,1,11.0,28.75,81.0,0
cabo delgado,2019,2,52.0,29.333333333333332,83.66666666666667,0
cabo delgado,2019,3,22.0,29.0,84.0,0
cabo delgado,2019,9,4.3602360000000004,26.986641220055372,79.4450439526356,0
cabo delgado,2019,10,247.135355,30.042458646598877,77.31667665362468,0
cabo delgado,2019,11,3.997663,30.294674919044525,78.4349989837817,0
cabo delgado,2020,1,45.89803969,28.04852185,82.49568639,0
cabo delgado,2020,3,58.342070901,27.6794144125,80.86355796999999,0
cabo delgado,2021,1,109.86196057,28.152543816666668,86.57588202,0
cabo delgado,2021,2,143.5154271,28.135906025000004,86.47728307,0
cabo delgado,2021,3,172.1394459,27.29021742,88.95292514666666,0
gaza,2017,1,583.8702525943518,26.738439941406273,86.08473510742188,0
gaza,2017,2,252.07890383899212,27.03998718261721,83.45248031616211,0
gaza,2017,3,104.68714032322168,25.75721638997398,84.4219970703125,0
gaza,2017,9,28.961654286831617,25.141447957356792,69.16916020711263,0
gaza,2017,10,42.50260163098574,25.36525573730471,71.28609619140624,0
gaza,2017,11,196.8541545793414,25.50369033813479,70.91204833984375,0
gaza,2017,12,88.56135839596391,27.087762451171898,76.51120567321777,0
gaza,2018,1,115.30342698097229,27.720630900065128,77.14245478312175,0
gaza,2018,2,309.5780937001109,26.98846588134768,84.07446479797363,0
gaza,2018,3,129.84780594706535,27.714028930664085,76.63258361816406,0
gaza,2018,9,11.501978966407478,25.84821472167971,62.69645563761393,0
gaza,2018,10,112.47509205713868,23.748382568359396,73.39267272949219,0
gaza,2018,11,91.72684652730823,26.57361755371096,68.52412414550781,0
gaza,2018,12,104.47708685023827,28.49129028320315,73.78854446411133,0
gaza,2019,1,322.87154346704483,26.890840148925804,83.79219055175781,0
gaza,2019,2,175.38210237398744,27.66590270996096,78.54068565368652,0
gaza,2019,3,55.32375629991293,27.914086914062523,79.1177749633789,0
gaza,2019,9,28.21108838543296,25.215229288737003,69.33928680419922,0
gaza,2019,10,116.04863606044091,26.60579071044924,67.48299503326416,0
gaza,2019,11,103.50175481289625,27.856282806396507,78.05788803100586,0
gaza,2019,12,202.9068493284285,28.68313903808596,70.37057571411133,0
gaza,2020,1,143.80923827411607,28.613256835937523,78.5092788696289,0
gaza,2020,2,208.41333782300353,27.95050201416018,78.92895126342773,0
gaza,2020,3,38.59930846374482,26.553212738037132,74.36188507080078,0
gaza,2020,9,26.55299985781312,24.65863952636721,71.2995096842448,0
gaza,2020,10,86.31157968193293,25.520314788818382,74.72985649108887,0
gaza,2020,11,88.07326131500304,28.403421020507835,66.60822982788086,0
gaza,2020,12,351.3578646816313,27.39413986206057,77.12458229064941,0
gaza,2021,1,3.7025143392384052,28.157495117187523,72.80708312988281,0
inhambane,2017,1,1347.7678261697292,26.95701599121096,89.35373382568359,0
inhambane,2017,2,144.39485222101212,26.71924235026044,85.8120600382487,0
inhambane,2017,3,150.93453787267208,25.549529012044292,84.96933237711589,0
inhambane,2017,9,28.797091625165194,23.779316202799503,73.06904983520508,0
inhambane,2017,10,128.20485536940396,24.67907409667971,74.79295501708984,0
inhambane,2017,11,79.88905045203865,24.351739501953148,81.24487113952637,0
inhambane,2017,12,91.96632821112871,26.405000305175804,82.3851375579834,0
inhambane,2018,1,207.3072106577456,27.160864766438824,84.91737874348958,0
inhambane,2018,2,486.282043159008,26.328084564209007,89.35958290100098,0
inhambane,2018,3,84.74698662757874,26.84321492513023,85.10843149820964,0
inhambane,2018,9,12.91213248623535,25.009357706705753,64.43891779581706,0
inhambane,2018,10,123.73223761096597,23.659027099609396,78.32351837158203,0
inhambane,2018,11,90.44379403349012,26.19040451049807,73.7331428527832,0
inhambane,2018,12,138.7141067534685,27.295132446289085,84.94408874511718,0
inhambane,2019,1,1053.496714681387,26.79889068603518,88.30124282836914,0
inhambane,2019,2,290.43399170041084,26.119615173339866,85.89384460449219,0
inhambane,2019,3,91.0873245447874,26.724629974365257,85.73535537719727,0
inhambane,2019,9,63.895720057189465,24.141941324869816,76.42208099365234,0
inhambane,2019,10,147.25797454593703,25.71956024169924,72.62090492248535,0
inhambane,2019,11,246.4008405804634,26.487039184570335,83.45473289489746,0
inhambane,2019,12,193.74619566951878,27.71432800292971,74.88081817626953,0
inhambane,2020,1,173.50368364714086,27.961083984375023,83.88790512084961,0
inhambane,2020,2,73.5995564609766,27.846409098307316,83.86144510904948,0
inhambane,2020,3,106.02772235870361,26.56576309204104,81.24930953979492,0
inhambane,2020,9,25.017506210133433,24.694238281250023,68.56488418579102,0
inhambane,2020,10,103.19805075414479,24.60772857666018,78.52444076538086,0
